"Method","Name","Error","Occurrences"
"GET","View Record","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog/nj2bh100zz-89112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f66610e4160>: Failed to establish a new connection: [Errno 110] Connection timed out',))",1
"GET","View Record","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog/mt2w6200zz-89112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6660302fd0>: Failed to establish a new connection: [Errno 110] Connection timed out',))",1
