"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",3999,4700,5900,7000,7800,14000,37000,129000,131000,150000
"GET /about",1313,4600,5900,7000,7900,14000,36000,95000,130000,131000
"GET Browse Facets",2558,4700,6000,7200,8500,19000,39000,119000,130000,134000
"GET Collection Page",2632,4700,6100,7200,8200,19000,38000,122000,131000,152000
"GET Search keyword",2651,4600,5900,6900,7700,14000,37000,129000,130000,158000
"GET View Record",2569,4600,5900,6900,7800,14000,36000,121000,131000,158000
"Aggregated",15722,4600,5900,7000,7900,15000,37000,123000,131000,158000
