"Method","Name","Error","Occurrences"
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bnamed_subject_sim%5D%5B%5D=Wright%2C+Paul+A. (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0bdfbe0>: Failed to establish a new connection: [Errno 110] Connection timed out',))",3
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Blocation_sim%5D%5B%5D=California (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9ea045ad68>: Failed to establish a new connection: [Errno 24] Too many open files',))",11
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Arkatov+%28James%29+collection (Caused by SSLError(OSError(24, 'Too many open files'),))",44
"GET","/","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",36
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bnamed_subject_sim%5D%5B%5D=Wright%2C+Paul+A. (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88abe1d0>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",152
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Blocation_sim%5D%5B%5D=California (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0b5ed30>: Failed to establish a new connection: [Errno 110] Connection timed out',))",6
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Bennett+%28Walter+E.%29+Photographic+Collection%2C+1937-1983+%28bulk+1952-1982%29 (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9ea0352358>: Failed to establish a new connection: [Errno 24] Too many open files',))",9
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Los+Angeles+Daily+News+Negatives (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e889fada0>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",160
"GET","View Record","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog/mt2w6200zz-89112 (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9ea00649b0>: Failed to establish a new connection: [Errno 24] Too many open files',))",14
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bhuman_readable_resource_type_sim%5D%5B%5D=text (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0d176d8>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",144
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Ethiopic+Manuscripts (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e896c6128>: Failed to establish a new connection: [Errno 110] Connection timed out',))",4
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=still+image&search_field=all_fields (Caused by SSLError(OSError(24, 'Too many open files'),))",54
"GET","View Record","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog/fm2q1000zz-89112 (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e8821c0b8>: Failed to establish a new connection: [Errno 24] Too many open files',))",18
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=manuscript&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88bf7d68>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",136
"GET","Collection Page","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",39
"GET","/","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88c8d898>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",1283
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=los+angeles&search_field=all_fields (Caused by SSLError(OSError(24, 'Too many open files'),))",52
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Bennett+%28Walter+E.%29+Photographic+Collection%2C+1937-1983+%28bulk+1952-1982%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88c09be0>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",146
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Ethiopic+Manuscripts (Caused by SSLError(OSError(24, 'Too many open files'),))",37
"GET","View Record","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog/gsqg5200zz-89112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e8956f080>: Failed to establish a new connection: [Errno 24] Too many open files',))",17
