"Method","Name","Error","Occurrences"
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bhuman_readable_resource_type_sim%5D%5B%5D=text (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e8891bb38>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",143
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=bennett&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9ea09bd9e8>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",167
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bsubject_sim%5D%5B%5D=Crime (Caused by SSLError(OSError(24, 'Too many open files'),))",52
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=manuscript&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea092b198>: Failed to establish a new connection: [Errno 24] Too many open files',))",12
"GET","View Record","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog/nj2bh100zz-89112 (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9ea03afc18>: Failed to establish a new connection: [Errno 24] Too many open files',))",15
"GET","View Record","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog/nj2bh100zz-89112 (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e88887a90>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",194
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=still+image&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0aef828>: Failed to establish a new connection: [Errno 110] Connection timed out',))",7
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Ethiopic+Manuscripts (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88cb6f60>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",148
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&search_field=dummy_range&range%5Byear_isim%5D%5Bbegin%5D=1960&range%5Byear_isim%5D%5Bend%5D=2007&commit=Limit (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0a621d0>: Failed to establish a new connection: [Errno 110] Connection timed out',))",4
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bnamed_subject_sim%5D%5B%5D=Wright%2C+Paul+A. (Caused by SSLError(OSError(24, 'Too many open files'),))",49
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Arkatov+%28James%29+collection (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e88fbf978>: Failed to establish a new connection: [Errno 24] Too many open files',))",16
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?q=piano&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88bc5278>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",153
"GET","View Record","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog/gsqg5200zz-89112 (Caused by SSLError(OSError(24, 'Too many open files'),))",56
"GET","View Record","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog/fm2q1000zz-89112 (Caused by SSLError(OSError(24, 'Too many open files'),))",65
"GET","/","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response',))",23
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Ethiopic+Manuscripts (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e885aa860>: Failed to establish a new connection: [Errno 24] Too many open files',))",7
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Los+Angeles+Daily+News+Negatives (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0bfa400>: Failed to establish a new connection: [Errno 110] Connection timed out',))",10
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Bennett+%28Walter+E.%29+Photographic+Collection%2C+1937-1983+%28bulk+1952-1982%29 (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e88993e48>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",142
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Collection+of+California+Postcards (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e88f0eeb8>: Failed to establish a new connection: [Errno 24] Too many open files',))",8
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Collection+of+California+Postcards (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e888f4b70>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",160
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?q=piano&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e8862f3c8>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",166
"GET","View Record","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog/nj2bh100zz-89112 (Caused by SSLError(OSError(24, 'Too many open files'),))",42
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&search_field=dummy_range&range%5Byear_isim%5D%5Bbegin%5D=1960&range%5Byear_isim%5D%5Bend%5D=2007&commit=Limit (Caused by SSLError(OSError(24, 'Too many open files'),))",53
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=bennett&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88c94400>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",132
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Connell+%28Will%29+Papers (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e73c94da0>: Failed to establish a new connection: [Errno 24] Too many open files',))",11
"GET","View Record","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog/gsqg5200zz-89112 (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e888d0080>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",166
"GET","/","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e885aa7f0>: Failed to establish a new connection: [Errno 24] Too many open files',))",99
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bgenre_sim%5D%5B%5D=cellulose+nitrate+film (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9ea0183c88>: Failed to establish a new connection: [Errno 24] Too many open files',))",8
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bsubject_sim%5D%5B%5D=Crime (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e89639a58>: Failed to establish a new connection: [Errno 24] Too many open files',))",15
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Connell+%28Will%29+Papers (Caused by SSLError(OSError(24, 'Too many open files'),))",54
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&search_field=dummy_range&range%5Byear_isim%5D%5Bbegin%5D=1960&range%5Byear_isim%5D%5Bend%5D=2007&commit=Limit (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e88890898>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",171
"GET","Search keyword","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",34
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bgenre_sim%5D%5B%5D=cellulose+nitrate+film (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0a966d8>: Failed to establish a new connection: [Errno 110] Connection timed out',))",8
"GET","View Record","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog/mt2w6200zz-89112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0d71fd0>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",163
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=los+angeles&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88b62828>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",167
"GET","/about","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /about (Caused by SSLError(OSError(24, 'Too many open files'),))",154
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Collection+of+California+Postcards (Caused by SSLError(OSError(24, 'Too many open files'),))",57
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bnamed_subject_sim%5D%5B%5D=Wright%2C+Paul+A. (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9ea930cd30>: Failed to establish a new connection: [Errno 24] Too many open files',))",8
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bsubject_sim%5D%5B%5D=Crime (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88a735c0>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",133
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Connell+%28Will%29+Papers (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0b182b0>: Failed to establish a new connection: [Errno 110] Connection timed out',))",7
"GET","View Record","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog/mt2w6200zz-89112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea01d2208>: Failed to establish a new connection: [Errno 110] Connection timed out',))",10
"GET","Browse Facets","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response',))",27
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=poppy&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea082f588>: Failed to establish a new connection: [Errno 110] Connection timed out',))",10
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=bennett&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea07d4f98>: Failed to establish a new connection: [Errno 110] Connection timed out',))",8
"GET","View Record","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog/fm2q1000zz-89112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88c9c390>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",205
"GET","View Record","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog/gsqg5200zz-89112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea08162b0>: Failed to establish a new connection: [Errno 110] Connection timed out',))",6
"GET","View Record","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog/24wg5200zz-89112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0b6a908>: Failed to establish a new connection: [Errno 110] Connection timed out',))",7
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=poppy&search_field=all_fields (Caused by SSLError(OSError(24, 'Too many open files'),))",41
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Bennett+%28Walter+E.%29+Photographic+Collection%2C+1937-1983+%28bulk+1952-1982%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88f76ba8>: Failed to establish a new connection: [Errno 24] Too many open files',))",15
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Connell+%28Will%29+Papers (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e88945828>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",171
"GET","View Record","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response',))",14
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=still+image&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e73f5eb38>: Failed to establish a new connection: [Errno 24] Too many open files',))",7
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bgenre_sim%5D%5B%5D=cellulose+nitrate+film (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea037cef0>: Failed to establish a new connection: [Errno 24] Too many open files',))",9
"GET","/about","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /about (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e885514e0>: Failed to establish a new connection: [Errno 24] Too many open files',))",33
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Arkatov+%28James%29+collection (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0fa9240>: Failed to establish a new connection: [Errno 24] Too many open files',))",15
"GET","Search keyword","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response',))",14
"GET","View Record","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog/fm2q1000zz-89112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88e27be0>: Failed to establish a new connection: [Errno 24] Too many open files',))",20
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bsubject_sim%5D%5B%5D=Crime (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e8896c128>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",155
"GET","/","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: / (Caused by SSLError(OSError(24, 'Too many open files'),))",423
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Blocation_sim%5D%5B%5D=California (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88c15c18>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",140
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bhuman_readable_resource_type_sim%5D%5B%5D=text (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0f01b38>: Failed to establish a new connection: [Errno 24] Too many open files',))",19
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Los+Angeles+Daily+News+Negatives (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88c6c2e8>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",129
"GET","View Record","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog/24wg5200zz-89112 (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e88910d30>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",152
"GET","View Record","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog/gsqg5200zz-89112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88a14898>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",171
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=still+image&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9ea09fdfd0>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",136
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bnamed_subject_sim%5D%5B%5D=Wright%2C+Paul+A. (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea073c160>: Failed to establish a new connection: [Errno 24] Too many open files',))",18
